refer	50
categori	48
apo	46
quot	44
us	43
other	43
includ	42
two	41
link	41
first	40
year	39
name	38
extern	38
time	37
thi	37
http	37
peopl	36
made	36
live	36
fr	36
www	34
pt	34
present	34
histori	34
see	33
unit	32
through	32
place	32
major	32
known	32
id	32
state	31
nl	31
titl	30
part	30
famili	30
earli	30
pl	29
origin	29
html	29
american	29
univers	28
gener	28
call	28
ca	28
becam	28
ag	28
sv	27
offici	27
hous	27
home	27
area	27
well	26
type	26
commun	26
war	25
three	25
same	25
follow	25
featur	25
both	25
world	24
total	24
serv	24
second	24
public	24
number	24
land	24
establish	24
end	24
citi	24
take	23
ru	23
press	23
popular	23
nation	23
march	23
locat	23
list	23
form	23
februari	23
chang	23
result	22
region	22
posit	22
marri	22
line	22
june	22
john	22
dai	22
children	22
back	22
april	22
white	21
st	21
septemb	21
resid	21
popul	21
older	21
member	21
